method,agent,n_present,n_missing,missing_datasets
agentic-mlp,paper,45,0,
mlp-ablation-claude-1,claude,45,0,
mlp-ablation-claude-2,claude,45,0,
mlp-ablation-claude-5,claude,45,0,
mlp-ablation-claude-6,claude,45,0,
mlp-ablation-claude-7,claude,45,0,
mlp-ablation-codex-0,codex,45,0,
mlp-ablation-codex-1,codex,45,0,
mlp-ablation-codex-2,codex,45,0,
mlp-ablation-codex-3,codex,45,0,
mlp-ablation-codex-4,codex,45,0,
