method,method_display,clf_large,clf_medium,clf_small,reg_large,reg_medium,reg_small
agentic-lightgbm,LightGBM (agentic),-0.3570208468602321,-0.7548074621028552,0.9891258005842337,-2.312317441329682,2.60638509319742,1.0201410944821507
agentic-mlp,MLP (agentic),0.24305981337639093,0.5161553669746394,2.1073082182835914,-0.5715678592565706,1.6445262400860747,3.1709358891065773
agentic-realmlp,RealMLP (agentic),-0.014948965699827796,0.07407394077518302,0.3801481740724631,1.027336086945116,-0.5569766060161944,0.9272582272544374
agentic-tabm,TabM (agentic),0.6107556135822096,-0.020505650531356615,2.8521534975211535,-0.37551964344839267,1.4903025884330283,1.4693119049774026
lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0
mlp,MLP,0.0,0.0,0.0,0.0,0.0,0.0
realmlp,RealMLP,0.0,0.0,0.0,0.0,0.0,0.0
tabm,TabM,0.0,0.0,0.0,0.0,0.0,0.0
